alt,a1_url,a1_text,a2_url,a2_text,filepath,description,category,embedding
1.30,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/08/1.30-1.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/08/1.30b-1.png,Download (Outside the Box),./images/1.30-1.png,The image depicts a clock that indicates the time as 1:30. The clock has a white face with black numerals marking the hours from 1 to 12. It features a black hour hand pointing towards the 1 and a black minute hand pointing towards the 6. The clock has a yellow border with a thin black outline and is positioned beneath the number '1.30' written in large black font. The background consists of a white square with a thick black border.,Image,"[ 0.0156606   0.00884082 -0.02403456 ... -0.01680307 -0.02450229
 -0.03033728]"
1 hour,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/1-hour.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/1-hour.png,Download (Outside the Box),./images/1-hour.png,"A vibrant illustration designed to teach time, showcasing an analog clock set to 9 o'clock, with a bold ""1 hour"" text above. The clock has a bright yellow border, making it visually appealing against the white background. The hour hand is at the 9, the minute hand is at 12. The time is emphasized by a green dotted circle with arrows highlighting the hour's duration, and light gray dotted arrows indicate direction and show rotation.",Educational Illustration,"[ 0.0276436  -0.00408878 -0.03167605 ... -0.01657604 -0.03005558
 -0.03529927]"
1 in 10 women,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/09/1-in-10-women.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/09/1-in-10-womenk.png,Download (Outside the Box),./images/1-in-10-women.png,"An image representing '1 in 10 women'. The image displays 10 cartoon women of diverse ethnicities and abilities. One woman, who is African American, is circled in green. The other women are not circled. The text '1 in 10 women' is at the top of the image in large, black font.",Information,"[ 0.00367537  0.00156408 -0.02118456 ... -0.02007581 -0.02038958
  0.00822799]"
1 o clock,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/1-o-clock.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/1-o-clock-1.png,Download (Outside the Box),./images/1-o-clock.png,,,
1 pound NEW 2017,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/1-pound-NEW-2017-1.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/1-pound-NEW-2017.png,Download (Outside the Box),./images/1-pound-NEW-2017-1.png,"A picture of a British one-pound coin, with the words '1 pound NEW 2017' above it. The coin has an image of Queen Elizabeth II on one side.",Finance,"[ 0.03923706 -0.02372054 -0.03041215 ...  0.01583268 -0.02451344
 -0.0379483 ]"
1 to 1 meeting,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/1-to-1-meeting.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/1-to-1-meeting.png,Download (Outside the Box),./images/1-to-1-meeting.png,"Two people sitting at a table, facing each other, with the words '1 to 1 meeting' above them. Green arrows curve between them, showing communication. A man on the left is wearing a green shirt. A woman on the right is wearing a blue shirt. The table is brown.",Meetings,"[ 0.04876141  0.00964105 -0.03829069 ... -0.00083864 -0.0054673
 -0.0356076 ]"
1 week,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/1-week.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/1-week.png,Download (Outside the Box),./images/1-week.png,"A colorful illustration displays a calendar with the words ""1 week"" written in bold black letters at the top. Below this title, the calendar itself is depicted with rings at the top. The calendar grid includes days of the week labeled from left to right as 'sat', 'sun', 'mon', 'tues', 'wed', 'thur', and 'fri'. The first row of boxes is marked with green check marks, indicating completion or activity for each day of the week. The remaining three rows of boxes are empty. The calendar appears to be designed to track daily progress or events over a one-week period.",Illustration,"[ 0.03607411  0.01176505 -0.03093295 ... -0.02993257 -0.02635573
 -0.04519264]"
1 woodland square,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/1-woodland-square.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/1-woodland-square.png,Download (Outside the Box),./images/1-woodland-square.png,"The image is a white square with a thick black border. Inside the square at the top, the words ""1 woodland square"" are written in large, bold, black font. Underneath the words is a cartoon drawing of a house. The house is brown brick with black outlines. It has a black roof with a light blue trim, blue windows, and a red door. A large black number ""1"" is on the left side of the house. Below the house is a drawing of a hand holding a white circle with a green and black border. Inside this circle is a red house outline containing two cartoon figures: one person in a wheelchair and another person standing next to them.",Signage,"[ 0.03031379  0.00191035 -0.01522288 ... -0.01569339 -0.04386423
 -0.02087501]"
10.00-o’clock,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/10.00-oclock.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/10.00-oclock-1.png,Download (Outside the Box),./images/10.00-oclock.png,"A colorful image depicting a clock showing the time 10:00. The clock face is white with a yellow border, and black numerals indicating the hours. The hour hand points to 10, while the minute hand points to 12. Above the clock, the words ""10.00 o'clock"" are printed in bold black font. The entire image is framed by a black border.",Time & Clocks,"[ 0.02971554 -0.00366403 -0.02495848 ... -0.01335331 -0.02664136
 -0.00979199]"
10.30 am,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/10.30-AM.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/10.30-AM.png,Download (Outside the Box),./images/10.30-AM.png,"The image shows a clock with a bright yellow border, set against a white background framed by a black border. The clock face is white with black numerals indicating the hours from 1 to 12. The hour hand is pointing towards the number 10, and the minute hand is pointing directly at the number 6, indicating half-past the hour. Above the clock, the time is displayed in bold, black letters as '10.30 AM'. The image clearly illustrates the time as 10:30 in the morning.",Time Telling,"[ 0.03847383 -0.00122972 -0.0258958  ... -0.00898749 -0.01823462
 -0.02646172]"
